Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),Methanol based Ea (kJ/mol)
2.0,Null,0.0,Null,0.0,3.104586678,Co-precipitation,350.0,4.0,200.0,30,3.0,10.08580911,21.25620473
2.0,Null,0.0,Null,0.0,3.104586678,Co-precipitation,350.0,4.0,225.0,30,3.0,10.08580911,21.25620473
2.0,Null,0.0,Null,0.0,3.104586678,Co-precipitation,350.0,4.0,250.0,30,3.0,10.08580911,21.25620473
2.0,Au,0.001,Null,0.0,3.46260601,Co-precipitation,350.0,4.0,200.0,30,3.0,10.08580911,24.25140011
2.0,Au,0.001,Null,0.0,3.46260601,Co-precipitation,350.0,4.0,225.0,30,3.0,10.08580911,24.25140011
2.0,Au,0.001,Null,0.0,3.46260601,Co-precipitation,350.0,4.0,250.0,30,3.0,10.08580911,24.25140011
2.0,Au,0.005,Null,0.0,3.465735903,Co-precipitation,350.0,4.0,200.0,30,3.0,10.08580911,23.0047743
2.0,Au,0.005,Null,0.0,3.465735903,Co-precipitation,350.0,4.0,225.0,30,3.0,10.08580911,23.0047743
2.0,Au,0.005,Null,0.0,3.465735903,Co-precipitation,350.0,4.0,250.0,30,3.0,10.08580911,23.0047743
2.0,Au,0.02,Null,0.0,3.242592351,Co-precipitation,350.0,4.0,200.0,30,3.0,10.08580911,28.40343245
2.0,Au,0.02,Null,0.0,3.242592351,Co-precipitation,350.0,4.0,225.0,30,3.0,10.08580911,28.40343245
2.0,Au,0.02,Null,0.0,3.242592351,Co-precipitation,350.0,4.0,250.0,30,3.0,10.08580911,28.40343245
2.0,Au,0.05,Null,0.0,3.222867846,Co-precipitation,350.0,4.0,200.0,30,3.0,10.08580911,38.9295901
2.0,Au,0.05,Null,0.0,3.222867846,Co-precipitation,350.0,4.0,225.0,30,3.0,10.08580911,38.9295901
2.0,Au,0.05,Null,0.0,3.222867846,Co-precipitation,350.0,4.0,250.0,30,3.0,10.08580911,38.9295901
0.7319,Null,0.0,Zr,0.6616,5.093750201,Co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,30.55136683
0.7319,Null,0.0,Zr,0.6616,5.093750201,Co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,30.55136683
0.7319,Null,0.0,Zr,0.6616,5.093750201,Co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,30.55136683
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,21.61108781
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,21.61108781
0.7,Si,0.0001764,Zr,0.6545,5.164785974,Co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,21.61108781
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,27.54080309
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,27.54080309
0.7384,Si,0.0004577,Zr,0.6528,5.365976015,Co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,27.54080309
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,33.02715956
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,33.02715956
0.6948,Si,0.00065172,Zr,0.6782,5.231108617,Co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,33.02715956
0.681,Si,0.001128,Zr,0.6473,4.976733742,Co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,29.14624099
0.681,Si,0.001128,Zr,0.6473,4.976733742,Co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,29.14624099
0.681,Si,0.001128,Zr,0.6473,4.976733742,Co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,29.14624099
0.7069,Si,0.0021187,Zr,0.6416,4.804021045,Co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,29.98369771
0.7069,Si,0.0021187,Zr,0.6416,4.804021045,Co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,29.98369771
0.7069,Si,0.0021187,Zr,0.6416,4.804021045,Co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,29.98369771
0.11,Null,0.0,Null,0.0,1.931521412,Decomposition-precipitation,400.0,3.0,220.0,30,3.0,9.392661929,14.66707606
0.11,Null,0.0,Null,0.0,1.931521412,Decomposition-precipitation,400.0,3.0,240.0,30,3.0,9.392661929,14.66707606
0.11,Null,0.0,Null,0.0,1.931521412,Decomposition-precipitation,400.0,3.0,260.0,30,3.0,9.392661929,14.66707606
0.56,Null,0.0,Null,0.0,2.827313622,Decomposition-precipitation,400.0,3.0,220.0,30,3.0,9.392661929,25.12255705
0.56,Null,0.0,Null,0.0,2.827313622,Decomposition-precipitation,400.0,3.0,240.0,30,3.0,9.392661929,26.00476957
0.56,Null,0.0,Null,0.0,2.827313622,Decomposition-precipitation,400.0,3.0,260.0,30,3.0,9.392661929,26.00476957
1.11,Null,0.0,Null,0.0,3.144152279,Decomposition-precipitation,400.0,3.0,220.0,30,3.0,9.392661929,41.71205323
1.11,Null,0.0,Null,0.0,3.144152279,Decomposition-precipitation,400.0,3.0,240.0,30,3.0,9.392661929,35.52754946
1.11,Null,0.0,Null,0.0,3.144152279,Decomposition-precipitation,400.0,3.0,260.0,30,3.0,9.392661929,35.52754946
0.04,Null,0.0,Al,0.6132,3.629660094,Co-precipitation,400.0,3.0,190.0,30,3.0,9.210340372,26.40405744
0.04,Null,0.0,Al,0.6132,3.629660094,Co-precipitation,400.0,3.0,210.0,30,3.0,9.210340372,26.40405744
0.04,Null,0.0,Al,0.6132,3.629660094,Co-precipitation,400.0,3.0,230.0,30,3.0,9.210340372,26.40405744
0.4133,Null,0.0,Al,0.4732,4.332048265,Co-precipitation,400.0,3.0,190.0,30,3.0,9.210340372,25.57974299
0.4133,Null,0.0,Al,0.4732,4.332048265,Co-precipitation,400.0,3.0,210.0,30,3.0,9.210340372,25.57974299
0.4133,Null,0.0,Al,0.4732,4.332048265,Co-precipitation,400.0,3.0,230.0,30,3.0,9.210340372,25.57974299
0.4233,Null,0.0,Al,0.52,4.06731589,Co-precipitation,400.0,3.0,190.0,30,3.0,9.210340372,25.57974299
0.4233,Null,0.0,Al,0.52,4.06731589,Co-precipitation,400.0,3.0,210.0,30,3.0,9.210340372,25.57974299
0.4233,Null,0.0,Al,0.52,4.06731589,Co-precipitation,400.0,3.0,230.0,30,3.0,9.210340372,25.57974299
0.3124,Mg,0.4731,Al,0.748,5.257495372,Co-precipitation,300.0,2.0,200.0,50,3.0,9.655026193,13.827829
0.3124,Mg,0.4731,Al,0.748,5.257495372,Co-precipitation,300.0,2.0,220.0,50,3.0,9.655026193,13.827829
0.3124,Mg,0.4731,Al,0.748,5.257495372,Co-precipitation,300.0,2.0,240.0,50,3.0,9.655026193,13.827829
0.3124,Mg,0.9461,Null,0.0,4.718498871,Co-precipitation,300.0,2.0,200.0,50,3.0,9.655026193,14.15735217
0.3124,Mg,0.9461,Null,0.0,4.718498871,Co-precipitation,300.0,2.0,220.0,50,3.0,9.655026193,14.15735217
0.3124,Mg,0.9461,Null,0.0,4.718498871,Co-precipitation,300.0,2.0,240.0,50,3.0,9.655026193,14.15735217
0.4313,Null,0.0,Al,1.5664,4.836281907,Co-precipitation,400.0,2.0,200.0,30,3.0,8.699514748,26.58780682
0.4313,Null,0.0,Al,1.5664,4.836281907,Co-precipitation,400.0,2.0,220.0,30,3.0,8.699514748,26.58780682
0.4313,Null,0.0,Al,1.5664,4.836281907,Co-precipitation,400.0,2.0,240.0,30,3.0,8.699514748,26.58780682
0.7295,Null,0.0,Zr,0.6433,4.820281566,Reverse co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,25.87892388
0.7295,Null,0.0,Zr,0.6433,4.820281566,Reverse co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,25.87892388
0.7295,Null,0.0,Zr,0.6433,4.820281566,Reverse co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,25.87892388
0.7362,GO,0.03217,Zr,0.6742,4.912654886,Reverse co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,20.36091368
0.7362,GO,0.03217,Zr,0.6742,4.912654886,Reverse co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,20.36091368
0.7362,GO,0.03217,Zr,0.6742,4.912654886,Reverse co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,20.36091368
0.7472,GO,0.05332,Zr,0.6763,4.976733742,Reverse co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,23.33224928
0.7472,GO,0.05332,Zr,0.6763,4.976733742,Reverse co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,23.33224928
0.7472,GO,0.05332,Zr,0.6763,4.976733742,Reverse co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,23.33224928
0.7626,GO,0.1372,Zr,0.6816,4.852030264,Reverse co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,19.90932955
0.7626,GO,0.1372,Zr,0.6816,4.852030264,Reverse co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,19.90932955
0.7626,GO,0.1372,Zr,0.6816,4.852030264,Reverse co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,19.90932955
0.7575,GO,0.1912,Zr,0.6727,4.65396035,Reverse co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,33.56152051
0.7575,GO,0.1912,Zr,0.6727,4.65396035,Reverse co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,33.56152051
0.7575,GO,0.1912,Zr,0.6727,4.65396035,Reverse co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,33.56152051
0.784,GO,0.4648,Zr,0.6697,4.553876892,Reverse co-precipitation,350.0,2.0,200.0,20,3.0,9.655026193,37.80530701
0.784,GO,0.4648,Zr,0.6697,4.553876892,Reverse co-precipitation,350.0,2.0,220.0,20,3.0,9.655026193,37.80530701
0.784,GO,0.4648,Zr,0.6697,4.553876892,Reverse co-precipitation,350.0,2.0,240.0,20,3.0,9.655026193,37.80530701
0.4286,a_SiO2,0.01428,Al,0.9524,4.543294782,Solid phase grinding,330.0,3.0,180.0,43,5.0,7.60090246,22.34172473
0.4286,a_SiO2,0.01428,Al,0.9524,4.543294782,Solid phase grinding,330.0,3.0,210.0,43,5.0,7.60090246,22.34172473
0.4286,a_SiO2,0.01428,Al,0.9524,4.543294782,Solid phase grinding,330.0,3.0,225.0,43,5.0,7.60090246,22.34172473
26.0,ZrO2/S,20.0,Null,0.0,4.543294782,Co-precipitation,500.0,3.0,230.0,45,3.0,9.287301413,119.1719594
26.0,ZrO2/S,20.0,Null,0.0,4.543294782,Co-precipitation,500.0,3.0,260.287,45,3.0,9.287301413,119.1719594
26.0,ZrO2/S,20.0,Null,0.0,4.543294782,Co-precipitation,500.0,3.0,290.164,45,3.0,9.287301413,119.1719594
13.0,ZrO2/S,20.0,Null,0.0,4.564348191,Co-precipitation,500.0,3.0,230.215,45,3.0,9.287301413,116.8254257
13.0,ZrO2/S,20.0,Null,0.0,4.564348191,Co-precipitation,500.0,3.0,260.0,45,3.0,9.287301413,116.8254257
13.0,ZrO2/S,20.0,Null,0.0,4.564348191,Co-precipitation,500.0,3.0,289.587,45,3.0,9.287301413,116.8254257
6.5,ZrO2/S,20.0,Null,0.0,4.762173935,Co-precipitation,500.0,3.0,230.0,45,3.0,9.287301413,87.71247493
6.5,ZrO2/S,20.0,Null,0.0,4.762173935,Co-precipitation,500.0,3.0,260.202,45,3.0,9.287301413,87.71247493
6.5,ZrO2/S,20.0,Null,0.0,6.102558595,Co-precipitation,500.0,3.0,290.0,45,3.0,9.287301413,87.71247493
1.0,Null,0.0,Null,0.0,3.18221184,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,59.0
1.0,Null,0.0,Null,0.0,3.18221184,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,59.0
1.0,Null,0.0,Null,0.0,3.18221184,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,59.0
1.0,Null,0.0,Null,0.0,3.18221184,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,59.0
1.0,Pd,0.005,Null,0.0,2.901421594,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,52.0
1.0,Pd,0.005,Null,0.0,2.901421594,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,52.0
1.0,Pd,0.005,Null,0.0,2.901421594,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,52.0
1.0,Pd,0.005,Null,0.0,2.901421594,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,52.0
1.0,Pd,0.01,Null,0.0,2.975529566,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,31.0
1.0,Pd,0.01,Null,0.0,2.975529566,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,31.0
1.0,Pd,0.01,Null,0.0,2.975529566,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,31.0
1.0,Pd,0.01,Null,0.0,2.975529566,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,31.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,45.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,45.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,45.0
1.0,Pd,0.02,Null,0.0,2.985681938,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,45.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,62.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,62.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,62.0
1.0,Pd,0.03,Null,0.0,2.990719732,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,62.0
1.0,Pd,0.04,Null,0.0,3.94931879,Decomposition-precipitation,50.0,12.0,230.0,45,3.0,9.287301413,70.0
1.0,Pd,0.04,Null,0.0,3.696351469,Decomposition-precipitation,50.0,12.0,250.0,45,3.0,9.287301413,70.0
1.0,Pd,0.04,Null,0.0,4.182050143,Decomposition-precipitation,50.0,12.0,270.0,45,3.0,9.287301413,70.0
1.0,Pd,0.04,Null,0.0,4.028916757,Decomposition-precipitation,50.0,12.0,290.0,45,3.0,9.287301413,70.0
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,190.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,230.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,250.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,270.0,30,3.0,8.188689124,58.20584987
2.5,Null,0.0,Null,0.0,1.945910149,Impregnation,500.0,2.0,290.0,30,3.0,8.188689124,58.20584987
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,220.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,230.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,240.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,250.0,40,3.0,7.313220387,33.3392486
0.75,Null,0.0,Null,0.0,3.058707073,Co-precipitation,450.0,4.0,260.0,40,3.0,7.313220387,33.3392486
0.78,Null,0.0,Null,0.0,3.57950952,MOF-derived,450.0,3.0,220.0,40,3.0,7.313220387,54.19400235
0.78,Null,0.0,Null,0.0,4.812235273,MOF-derived,450.0,3.0,230.0,40,3.0,7.313220387,54.19400235
0.78,Null,0.0,Null,0.0,4.928432984,MOF-derived,450.0,3.0,240.0,40,3.0,7.313220387,54.19400235
0.78,Null,0.0,Null,0.0,5.012095605,MOF-derived,450.0,3.0,250.0,40,3.0,7.313220387,54.19400235
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,45.9395826
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,45.9395826
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,45.9395826
2.3717,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,45.9395826
1.8225,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,45.78743907
1.8225,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,40.66012755
1.8225,Si/S,20.0,Null,0.0,3.701301974,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,40.66012755
2.1465,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,50.28825275
2.1465,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,50.28825275
2.1465,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,50.28825275
2.1465,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,50.28825275
1.0206,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,43.66476281
1.0206,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,43.66476281
1.0206,Si/S,20.0,Null,0.0,2.412335957,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,43.66476281
1.0206,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,43.66476281
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,42.42633568
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,42.42633568
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,42.42633568
0.8298,Si/S,20.0,Null,0.0,3.220474546,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,42.42633568
0.6618,Si/S,20.0,Null,0.0,4.304065093,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.682131227,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.682131227,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.584967479,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,42.73350909
0.6618,Si/S,20.0,Null,0.0,4.333361463,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,42.73350909
1.0398,Si/S,20.0,Null,0.0,4.333361463,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,40.25086196
1.0398,Si/S,20.0,Null,0.0,2.442347035,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,40.25086196
1.0398,Si/S,20.0,Null,0.0,2.211565695,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,40.25086196
1.0398,Si/S,20.0,Null,0.0,2.284421122,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,40.25086196
1.0398,Si/S,20.0,Null,0.0,1.987874348,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,40.25086196
1.4069,Si/S,20.0,Null,0.0,2.451005098,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,37.20255661
1.4069,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,37.20255661
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,36.69496811
1.8225,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,36.69496811
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.353278925,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,37.06532438
2.5048,Si/S,20.0,Null,0.0,5.379897354,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,37.06532438
2.9602,Si/S,20.0,Null,0.0,5.379897354,Hydrothermal,500.0,2.0,200.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,5.379897354,Hydrothermal,500.0,2.0,220.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,3.433987204,Hydrothermal,500.0,2.0,240.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,3.433987204,Hydrothermal,500.0,2.0,260.0,30,3.0,9.61580548,39.23669999
2.9602,Si/S,20.0,Null,0.0,3.433987204,Hydrothermal,500.0,2.0,280.0,30,3.0,9.61580548,39.23669999
0.4,Null,0.0,Zr,0.6,3.401197382,Solvothermal,450.0,3.0,200.0,30,3.0,7.783224016,19.96491304
0.4,Null,0.0,Zr,0.6,3.401197382,Solvothermal,450.0,3.0,220.0,30,3.0,7.783224016,19.96491304
0.4,Null,0.0,Zr,0.6,3.401197382,Solvothermal,450.0,3.0,240.0,30,3.0,7.783224016,19.96491304
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,210.0,40,3.0,9.680344001,25.08789179
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,220.0,40,3.0,9.680344001,25.08789179
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,230.0,40,3.0,9.680344001,25.08789179
