Molar ratio (Zn:Cu),Promoter 1,Promoter 1 ratio (Promoter 1:Cu),Promoter 2,Promoter 2 ratio (Promoter 2:Cu),Catalyst surface area (m2/g) (LN scale),Type of sysnthesis procedure,Calcination temperature (°C),Calcination time (h),Temperature (°C),Pressure (bar),H2/CO2 ratio (-),GHSV (mL/g.h) (LN scale),Methanol based Ea (kJ/mol)
0.2174,Null,0.0,Null,0.0,3.618993327,MOF-derived,240.0,4.0,240.0,40,3.0,9.680344001,25.08789179
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,210.0,40,3.0,9.680344001,25.25213774
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,220.0,40,3.0,9.680344001,25.25213774
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,230.0,40,3.0,9.680344001,25.25213774
0.2272,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,240.0,40,3.0,9.680344001,25.25213774
0.09615,Null,0.0,Null,0.0,3.666122467,MOF-derived,240.0,4.0,210.0,40,3.0,9.680344001,30.41303222
0.09615,Null,0.0,Null,0.0,3.6558396,MOF-derived,240.0,4.0,220.0,40,3.0,9.680344001,30.41303222
0.09615,Null,0.0,Null,0.0,3.6558396,MOF-derived,240.0,4.0,230.0,40,3.0,9.680344001,30.41303222
0.09615,Null,0.0,Null,0.0,3.6558396,MOF-derived,240.0,4.0,240.0,40,3.0,9.680344001,30.41303222
0.3333,Null,0.0,Null,0.0,3.511545439,Co-precipitation,350.0,2.0,190.0,30,3.0,8.411832676,17.0188913
0.3333,Null,0.0,Null,0.0,3.511545439,Co-precipitation,350.0,2.0,210.0,30,3.0,8.411832676,17.0188913
0.3333,Null,0.0,Null,0.0,3.511545439,Co-precipitation,350.0,2.0,230.0,30,3.0,8.411832676,17.0188913
0.3333,Null,0.0,Null,0.0,3.511545439,Co-precipitation,350.0,2.0,250.0,30,3.0,8.411832676,17.0188913
0.4673,SiO2,3.136,Zr,0.2334,4.290459441,Hydrothermal,550.0,6.0,270.0,30,3.0,7.783224016,11.64350522
0.4673,SiO2,3.136,Zr,0.2334,4.290459441,Hydrothermal,550.0,6.0,290.0,30,3.0,7.783224016,11.64350522
0.4673,SiO2,3.136,Zr,0.2334,4.290459441,Hydrothermal,550.0,6.0,310.0,30,3.0,7.783224016,11.64350522
0.4673,SiO2,3.136,Zr,3.6388,4.290459441,Hydrothermal,550.0,6.0,270.0,50,5.0,7.783224016,13.30255474
0.4673,SiO2,3.136,Zr,3.6388,4.290459441,Hydrothermal,550.0,6.0,290.0,50,5.0,7.783224016,13.30255474
0.4673,SiO2,3.136,Zr,3.6388,4.290459441,Hydrothermal,550.0,6.0,310.0,50,5.0,7.783224016,13.30255474
0.5,Null,0.0,Zr,3.6388,4.290459441,Co-precipitation,350.0,4.0,220.0,30,3.0,9.082507,14.00714948
0.5,Null,0.0,Zr,3.6388,4.290459441,Co-precipitation,350.0,4.0,240.0,30,3.0,9.082507,14.00714948
0.5,Null,0.0,Zr,5.2942,4.290459441,Co-precipitation,350.0,4.0,260.0,30,3.0,9.082507,14.00714948
1.02,Null,0.0,Null,0.0,4.119245006,Co-precipitation,400.0,4.0,200.0,30,3.0,7.783224016,17.7973969
1.02,Null,0.0,Null,0.0,4.437934267,Co-precipitation,400.0,4.0,220.0,30,3.0,7.783224016,17.7973969
1.02,Null,0.0,Null,0.0,3.974058396,Co-precipitation,400.0,4.0,240.0,30,3.0,7.783224016,17.7973969
1.099,TiO2/S,20.0,Null,0.0,4.387014176,Co-precipitation,400.0,4.0,200.0,30,3.0,7.783224016,12.81133633
1.099,TiO2/S,20.0,Null,0.0,4.387014176,Co-precipitation,400.0,4.0,220.0,30,3.0,7.783224016,12.81133633
1.099,TiO2/S,20.0,Null,0.0,4.387014176,Co-precipitation,400.0,4.0,240.0,30,3.0,7.783224016,12.81133633
0.9174,ZrO2/S,20.0,Null,0.0,4.49535532,Co-precipitation,400.0,4.0,200.0,30,3.0,7.783224016,12.30469119
0.9174,ZrO2/S,20.0,Null,0.0,4.49535532,Co-precipitation,400.0,4.0,220.0,30,3.0,7.783224016,12.30469119
0.9174,ZrO2/S,20.0,Null,0.0,4.49535532,Co-precipitation,400.0,4.0,240.0,30,3.0,7.783224016,12.30469119
1.01,TiO2/S,20.0,Zr,0.1742,4.770684624,Co-precipitation,400.0,4.0,200.0,30,3.0,7.783224016,12.13614989
1.01,TiO2/S,20.0,Zr,0.1742,4.770684624,Co-precipitation,400.0,4.0,220.0,30,3.0,7.783224016,12.13614989
1.01,Ti,3.6388,Zr,0.1742,4.770684624,Co-precipitation,400.0,4.0,240.0,30,3.0,7.783224016,12.13614989
1.2042,Au,0.0079467,Al,7.2776,4.876722877,Co-precipitation,500.0,5.0,180.0,25,2.8,8.881836305,27.40393066
1.2042,Au,0.0079467,Al,7.2776,4.876722877,Co-precipitation,500.0,5.0,220.0,25,2.8,8.881836305,27.40393066
1.2042,Au,0.0079467,Al,7.2776,4.876722877,Co-precipitation,500.0,5.0,250.0,25,2.8,8.881836305,27.40393066
0.3281,Null,0.0,Zr,10.2316,4.549657476,Reverse co-precipitation,300.0,1.0,180.0,1,3.0,9.169518377,37.5019489
0.3281,Null,0.0,Zr,10.2316,4.549657476,Reverse co-precipitation,300.0,1.0,200.0,1,3.0,9.169518377,37.5019489
0.3281,Null,0.0,Zr,10.2316,4.549657476,Reverse co-precipitation,300.0,1.0,220.0,1,3.0,9.169518377,37.5019489
0.3281,Null,0.0,Zr,10.2316,4.549657476,Reverse co-precipitation,300.0,1.0,180.0,30,3.0,9.169518377,33.90462025
0.3281,Null,0.0,Zr,3.2442,4.621043535,Reverse co-precipitation,300.0,1.0,200.0,30,3.0,9.169518377,33.90462025
0.3281,Null,0.0,Zr,3.2442,4.621043535,Reverse co-precipitation,300.0,1.0,220.0,30,3.0,9.169518377,33.90462025
0.3281,Null,0.0,Zr,3.2442,4.621043535,Reverse co-precipitation,300.0,1.0,180.0,50,3.0,9.169518377,36.70712658
0.3281,Null,0.0,Zr,3.2442,4.621043535,Reverse co-precipitation,300.0,1.0,200.0,50,3.0,9.169518377,36.70712658
0.3281,Null,0.0,Zr,3.2442,4.957937505,Reverse co-precipitation,300.0,1.0,220.0,50,3.0,9.169518377,36.70712658
0.3281,Null,0.0,Zr,4.1358,4.957937505,Reverse co-precipitation,300.0,1.0,180.0,30,3.0,9.862665558,20.15359179
0.3281,Null,0.0,Zr,4.1358,4.957937505,Reverse co-precipitation,300.0,1.0,200.0,30,3.0,9.862665558,20.15359179
0.3281,Null,0.0,Zr,4.1358,4.866764924,Reverse co-precipitation,300.0,1.0,220.0,30,3.0,9.862665558,20.15359179
0.3281,Null,0.0,Zr,3.9666,4.866764924,Reverse co-precipitation,300.0,1.0,240.0,30,3.0,9.862665558,20.15359179
0.3281,Null,0.0,Zr,3.9666,4.866764924,Reverse co-precipitation,300.0,1.0,180.0,50,3.0,9.862665558,30.5293923
0.3281,Null,0.0,Zr,3.9666,4.866764924,Reverse co-precipitation,300.0,1.0,200.0,50,3.0,9.862665558,30.5293923
0.3281,Null,0.0,Zr,3.9666,4.866764924,Reverse co-precipitation,300.0,1.0,220.0,50,3.0,9.862665558,30.5293923
0.3281,Null,0.0,Zr,3.9666,4.866764924,Reverse co-precipitation,300.0,1.0,240.0,50,3.0,9.862665558,30.5293923
0.3281,Null,0.0,Zr,3.4834,4.826712456,Reverse co-precipitation,300.0,1.0,180.0,30,3.0,10.5865844,22.34463161
0.3281,Null,0.0,Zr,3.4834,4.826712456,Reverse co-precipitation,300.0,1.0,200.0,30,3.0,10.5865844,22.34463161
0.3281,Null,0.0,Zr,3.4834,4.826712456,Reverse co-precipitation,300.0,1.0,220.0,30,3.0,10.5865844,22.34463161
0.3281,Null,0.0,Zr,3.4834,4.826712456,Reverse co-precipitation,300.0,1.0,240.0,30,3.0,10.5865844,22.34463161
0.3281,Null,0.0,Zr,3.4834,4.826712456,Reverse co-precipitation,300.0,1.0,180.0,50,3.0,10.5865844,25.10402012
0.3281,Null,0.0,Zr,0.3334,4.700480366,Reverse co-precipitation,300.0,1.0,200.0,50,3.0,10.5865844,25.10402012
0.3281,Null,0.0,Zr,0.4,4.700480366,Reverse co-precipitation,300.0,1.0,220.0,50,3.0,10.5865844,25.10402012
0.3281,Null,0.0,Zr,0.388,4.700480366,Reverse co-precipitation,300.0,1.0,240.0,30,3.0,10.5865844,25.10402012
0.3281,Null,0.0,Zr,0.3334,4.700480366,Reverse co-precipitation,300.0,1.0,180.0,30,3.0,11.00209984,26.24267441
0.3281,Null,0.0,Zr,0.3334,4.866764924,Reverse co-precipitation,300.0,1.0,200.0,30,3.0,11.00209984,26.24267441
0.3281,Null,0.0,Zr,0.3334,4.866764924,Reverse co-precipitation,300.0,1.0,220.0,30,3.0,11.00209984,26.24267441
0.3281,Null,0.0,Zr,0.3334,4.866764924,Reverse co-precipitation,300.0,1.0,240.0,30,3.0,11.00209984,26.24267441
0.3281,Null,0.0,Zr,0.3334,4.866764924,Reverse co-precipitation,300.0,1.0,180.0,50,3.0,11.00209984,27.0148971
0.3281,Null,0.0,Zr,0.3334,4.866764924,Reverse co-precipitation,300.0,1.0,200.0,50,3.0,11.00209984,27.0148971
0.3281,Null,0.0,Zr,0.3334,4.866764924,Reverse co-precipitation,300.0,1.0,220.0,50,3.0,11.00209984,27.0148971
0.3281,Null,0.0,Zr,0.3334,4.866764924,Reverse co-precipitation,300.0,1.0,240.0,30,3.0,11.00209984,27.0148971
0.75,C,0.3334,Null,0.0,4.866764924,Plasma,345.0095653623928,3.0,230.0,40,3.0,8.699514748,52.70458666
0.75,C,0.3334,Null,0.0,4.866764924,Plasma,382.7478383251038,1.0,240.0,40,3.0,8.699514748,52.70458666
0.75,C,0.3334,Null,0.0,4.866764924,Plasma,527.2307873861155,3.0,250.0,40,3.0,8.699514748,52.70458666
0.75,C,0.3334,Null,0.0,4.866764924,Plasma,358.3647370887853,2.0,260.0,40,3.0,8.699514748,52.70458666
0.75,C,0.3334,Null,0.0,4.866764924,Impregnation,400.0,3.0,230.0,40,3.0,8.699514748,7.817361151
0.75,C,0.2448,Null,0.0,4.866764924,Impregnation,400.0,3.0,240.0,40,3.0,8.699514748,7.817361151
0.75,C,0.2448,Null,0.0,4.866764924,Impregnation,400.0,3.0,250.0,40,3.0,8.699514748,7.817361151
0.75,C,0.2448,Null,0.0,4.866764924,Impregnation,400.0,3.0,260.0,40,3.0,8.699514748,7.817361151
0.75,C,0.2448,Null,0.0,4.866764924,Impregnation,400.0,3.0,270.0,40,3.0,8.699514748,7.817361151
0.5217,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,200.0,30,3.0,10.37349118,39.0
0.5217,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,225.0,30,3.0,10.37349118,39.0
0.5217,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,250.0,30,3.0,10.37349118,39.0
0.5217,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,275.0,30,3.0,10.37349118,39.0
0.5217,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,300.0,30,3.0,10.37349118,39.0
0.5216,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,200.0,30,3.0,10.37349118,39.0
0.5216,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,225.0,30,3.0,10.37349118,39.0
0.5216,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,250.0,30,3.0,10.37349118,39.0
0.5216,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,275.0,30,3.0,10.37349118,39.0
0.5216,Null,0.0,Al,0.492,4.852030264,MOF-derived,500.0,6.0,300.0,30,3.0,10.37349118,39.0
0.5622,Null,0.0,Al,0.492,2.197224577,MOF-derived,350.0,3.0,200.0,30,3.0,10.37349118,35.0
0.5622,Null,0.0,Al,0.492,2.197224577,MOF-derived,350.0,3.0,225.0,30,3.0,10.37349118,35.0
0.5622,Null,0.0,Al,0.3852,2.197224577,MOF-derived,350.0,3.0,250.0,30,3.0,10.37349118,35.0
0.5622,Null,0.0,Al,0.3852,2.197224577,MOF-derived,350.0,3.0,275.0,30,3.0,10.37349118,35.0
0.5622,Null,0.0,Al,0.3852,2.197224577,MOF-derived,350.0,3.0,300.0,30,3.0,10.37349118,35.0
0.5622,Null,0.0,Al,0.3852,3.433987204,MOF-derived,350.0,3.0,200.0,30,3.0,10.37349118,32.0
0.5622,Null,0.0,Al,0.4124,3.433987204,MOF-derived,350.0,3.0,225.0,30,3.0,10.37349118,32.0
0.5622,Null,0.0,Al,0.4124,3.433987204,MOF-derived,350.0,3.0,250.0,30,3.0,10.37349118,32.0
0.5622,Null,0.0,Al,0.4124,3.433987204,MOF-derived,350.0,3.0,275.0,30,3.0,10.37349118,32.0
0.5622,Null,0.0,Al,0.4124,2.564949357,MOF-derived,350.0,3.0,300.0,30,3.0,10.37349118,32.0
0.3176,Null,0.0,Al,0.4124,2.564949357,MOF-derived,500.0,6.0,200.0,30,3.0,10.37349118,41.52607538
0.3176,Null,0.0,Al,0.4124,2.564949357,MOF-derived,500.0,6.0,225.0,30,3.0,10.37349118,41.52607538
0.3176,Null,0.0,Al,0.4124,2.564949357,MOF-derived,500.0,6.0,250.0,30,3.0,10.37349118,41.52607538
0.5582,Null,0.0,Al,0.4124,3.713572067,MOF-derived,500.0,6.0,200.0,30,3.0,10.37349118,39.47024544
0.5582,Null,0.0,Al,0.3334,3.713572067,MOF-derived,500.0,6.0,225.0,30,3.0,10.37349118,39.47024544
0.5582,Null,0.0,Al,0.104,2.833213344,MOF-derived,500.0,6.0,250.0,30,3.0,10.37349118,39.47024544
0.5582,Null,0.0,Al,0.224,2.833213344,MOF-derived,500.0,6.0,275.0,30,3.0,10.37349118,39.47024544
0.5216,Null,0.0,Al,0.3334,2.833213344,MOF-derived,500.0,6.0,200.0,30,3.0,10.37349118,40.92782577
0.5216,Null,0.0,Al,0.3334,4.32677816,MOF-derived,500.0,6.0,225.0,30,3.0,10.37349118,40.92782577
0.5216,Null,0.0,Al,0.3334,4.063885355,MOF-derived,500.0,6.0,250.0,30,3.0,10.37349118,40.92782577
2.106,Null,0.0,Al,0.6,4.870606649,MOF-derived,500.0,6.0,200.0,30,3.0,10.37349118,42.89650223
2.106,Null,0.0,Al,0.6,4.870606649,MOF-derived,500.0,6.0,225.0,30,3.0,10.37349118,42.89650223
2.106,Null,0.0,Al,0.6,4.870606649,MOF-derived,500.0,6.0,250.0,30,3.0,10.37349118,42.89650223
0.1788,Null,0.0,Al,0.6,4.870606649,MOF-derived,350.0,3.0,200.0,30,3.0,10.37349118,49.35298656
0.1788,Null,0.0,Al,0.6,4.870606649,MOF-derived,350.0,3.0,225.0,30,3.0,10.37349118,49.35298656
0.1788,Null,0.0,Al,0.6,4.870606649,MOF-derived,350.0,3.0,250.0,30,3.0,10.37349118,49.35298656
0.3118,Null,0.0,Al,0.6,4.870606649,MOF-derived,350.0,3.0,200.0,30,3.0,10.37349118,33.89864782
0.3118,Null,0.0,Al,0.6,4.943212618,MOF-derived,350.0,3.0,225.0,30,3.0,10.37349118,33.89864782
0.3118,Null,0.0,Al,0.69,4.943212618,MOF-derived,350.0,3.0,250.0,30,3.0,10.37349118,33.89864782
0.5622,Null,0.0,Al,0.69,4.943212618,MOF-derived,350.0,3.0,200.0,30,3.0,10.37349118,31.73058824
0.5622,Null,0.0,Al,0.69,4.828473725,MOF-derived,350.0,3.0,225.0,30,3.0,10.37349118,31.73058824
0.5622,Null,0.0,Al,0.69,4.828473725,MOF-derived,350.0,3.0,250.0,30,3.0,10.37349118,31.73058824
0.6691,Null,0.0,Al,0.69,4.828473725,MOF-derived,350.0,3.0,200.0,30,3.0,10.37349118,32.03287668
0.6691,Null,0.0,Al,0.69,3.725693427,MOF-derived,350.0,3.0,225.0,30,3.0,10.37349118,32.03287668
0.6691,Null,0.0,Al,0.5716,3.725693427,MOF-derived,350.0,3.0,250.0,30,3.0,10.37349118,32.03287668
0.4545,Null,0.0,Al,0.3334,2.656967411,Co-precipitation,360.0,4.0,220.0,28,3.0,7.329749689,19.63093699
0.4545,Null,0.0,Al,0.3334,3.33220451,Co-precipitation,360.0,4.0,240.0,28,3.0,7.329749689,13.1140259
0.4545,Null,0.0,Al,0.3334,3.663561646,Co-precipitation,360.0,4.0,260.0,28,3.0,7.329749689,13.1140259
0.4545,Null,0.0,Al,0.3334,3.80666249,Co-precipitation,360.0,4.0,220.0,35,3.0,7.329749689,20.48547477
0.4545,Null,0.0,Al,0.3334,3.80666249,Co-precipitation,360.0,4.0,240.0,35,3.0,7.329749689,12.289994
0.4545,Null,0.0,Al,0.3334,3.80666249,Co-precipitation,360.0,4.0,260.0,35,3.0,7.329749689,12.289994
0.4545,Null,0.0,Al,0.3334,3.80666249,Co-precipitation,360.0,4.0,220.0,42,3.0,7.329749689,19.66821318
0.4545,Null,0.0,Al,0.3334,3.80666249,Co-precipitation,360.0,4.0,240.0,42,3.0,7.329749689,13.21839383
0.4545,Null,0.0,Al,0.3334,3.80666249,Co-precipitation,360.0,4.0,260.0,42,3.0,7.329749689,13.21839383
0.4286,Null,0.0,Null,0.0,3.80666249,Co-precipitation,500.0,2.0,210.0,20,3.0,10.08580911,21.40641247
0.4286,Null,0.0,Null,0.0,3.80666249,Co-precipitation,500.0,2.0,220.0,20,3.0,10.08580911,21.40641247
0.4286,Null,0.0,Null,0.0,3.80666249,Co-precipitation,500.0,2.0,230.0,20,3.0,10.08580911,21.40641247
0.3,Ce,0.7,Null,0.0,3.828641396,Reverse co-precipitation,431.7330961036928,3.0,230.0,40,3.0,8.699514748,46.31026556
0.3,Ce,0.7,Null,0.0,3.828641396,Reverse co-precipitation,320.63911606934505,3.0,240.0,40,3.0,8.699514748,46.31026556
0.3,Ce,0.7,Null,0.0,3.170945291,Reverse co-precipitation,495.35091682057026,2.0,250.0,40,3.0,8.699514748,46.31026556
0.3,Ce,0.7,Null,0.0,3.966511191,Reverse co-precipitation,234.66216344987862,1.0,260.0,40,3.0,8.699514748,46.31026556
0.3,Ce,0.7,Null,0.0,5.161351511,Reverse co-precipitation,450.0,3.0,230.0,40,3.0,8.699514748,26.40911514
0.3,Ce,0.7,Null,0.0,5.161351511,Reverse co-precipitation,450.0,3.0,240.0,40,3.0,8.699514748,26.40911514
0.3,Ce,0.7,Null,0.0,5.161351511,Reverse co-precipitation,450.0,3.0,250.0,40,3.0,8.699514748,26.40911514
0.3,Ce,0.7,Null,0.0,5.161351511,Reverse co-precipitation,450.0,3.0,260.0,40,3.0,8.699514748,26.40911514
0.0005572,Ce,0.1244,Null,0.0,2.424802726,MOF-derived,450.0,5.0,260.0,20,3.0,9.210340372,77.0
0.02061,Ce,0.13625,Null,0.0,2.424802726,MOF-derived,450.0,5.0,320.0,20,3.0,9.210340372,59.3
0.02061,Ce,0.13625,Null,0.0,2.424802726,MOF-derived,450.0,5.0,300.0,20,3.0,9.210340372,59.3
0.02061,Ce,0.13625,Null,0.0,2.815408719,MOF-derived,450.0,5.0,280.0,20,3.0,9.210340372,59.3
0.02061,Ce,0.13625,Null,0.0,2.815408719,MOF-derived,450.0,5.0,260.0,20,3.0,9.210340372,59.3
0.4986,Ce,0.4949,Null,0.0,2.734367509,Impregnation,450.0,5.0,260.0,20,3.0,9.210340372,65.2
0.2857,Ce,0.1429,Null,0.0,4.442651256,Co-precipitation,500.0,5.0,220.0,20,3.0,8.006367568,40.21
0.2857,Ce,0.1429,Null,0.0,4.442651256,Co-precipitation,500.0,5.0,250.0,20,3.0,8.006367568,40.21
0.2857,Ce,0.1429,Null,0.0,4.442651256,Co-precipitation,500.0,5.0,280.0,20,3.0,8.006367568,40.21
8.9804,Null,0.0,Null,0.0,2.949688335,Impregnation,400.0,4.0,200.0,30,3.0,9.798127037,12.69207831
0.0,Null,0.0,Null,0.0,2.949688335,Impregnation,400.0,4.0,220.0,30,3.0,9.798127037,12.69207831
0.0,Null,0.0,Null,0.0,2.949688335,Impregnation,400.0,4.0,240.0,30,3.0,9.798127037,12.69207831
1.0,Null,0.0,Null,0.0,4.027135813,Stearic acid hydrophobic treatment,400.0,4.0,160.0,70,3.0,8.699514748,77.89838395
1.0,Null,0.0,Null,0.0,4.160444364,Stearic acid hydrophobic treatment,400.0,4.0,180.0,70,3.0,8.699514748,77.89838395
1.0,Null,0.0,Null,0.0,4.160444364,Stearic acid hydrophobic treatment,400.0,4.0,190.0,70,3.0,8.699514748,77.89838395
1.0,Null,0.0,Null,0.0,4.160444364,Stearic acid hydrophobic treatment,400.0,4.0,200.0,70,3.0,8.699514748,77.89838395
1.0,Null,0.0,Null,0.0,4.160444364,Stearic acid hydrophobic treatment,400.0,4.0,210.0,70,3.0,8.699514748,77.89838395
0.2488,zeolite,2.11,Null,0.0,4.59511985,Ion-exchange,200.0,4.0,200.0,30,3.0,7.783224016,10.06087104
0.2488,zeolite,2.11,Null,0.0,4.59511985,Ion-exchange,200.0,4.0,230.0,30,3.0,7.783224016,10.06087104
0.2488,zeolite,2.11,Null,0.0,4.59511985,Ion-exchange,200.0,4.0,260.0,30,3.0,7.783224016,10.06087104
0.5,Null,0.0,Al,0.0625,4.700480366,MOF-derived,500.0,2.0,200.0,30,3.0,10.08580911,35.46136213
0.5,Null,0.0,Al,0.0625,4.700480366,MOF-derived,500.0,2.0,225.0,30,3.0,10.08580911,35.46136213
0.5,Null,0.0,Al,0.0625,4.700480366,MOF-derived,500.0,2.0,250.0,30,3.0,10.08580911,35.46136213
0.5,Null,0.0,Al,0.125,4.532599493,MOF-derived,500.0,2.0,200.0,30,3.0,10.08580911,17.9165094
0.5,Null,0.0,Al,0.125,4.532599493,MOF-derived,500.0,2.0,225.0,30,3.0,10.08580911,17.9165094
0.5,Null,0.0,Al,0.125,4.532599493,MOF-derived,500.0,2.0,250.0,30,3.0,10.08580911,17.9165094
0.5,Null,0.0,Al,0.25,4.532599493,MOF-derived,500.0,2.0,200.0,30,3.0,10.08580911,37.29264504
0.5,Null,0.0,Al,0.25,4.532599493,MOF-derived,500.0,2.0,225.0,30,3.0,10.08580911,37.29264504
0.5,Null,0.0,Al,0.25,4.343805422,MOF-derived,500.0,2.0,250.0,30,3.0,10.08580911,37.29264504
0.5,Null,0.0,Al,0.125,4.343805422,Co-precipitation,500.0,2.0,200.0,30,3.0,10.08580911,25.65944921
0.5,Null,0.0,Al,0.125,4.343805422,Co-precipitation,500.0,2.0,225.0,30,3.0,10.08580911,25.65944921
0.5,Null,0.0,Al,0.125,4.343805422,Co-precipitation,500.0,2.0,250.0,30,3.0,10.08580911,25.65944921
0.3417,SiO2/S,20.0,Al,0.08904,4.235554731,Impregnation,550.0,2.0,220.0,50,3.0,7.824046011,16.2
0.3417,SiO2/S,20.0,Al,0.08904,4.235554731,Impregnation,550.0,2.0,240.0,50,3.0,7.824046011,16.2
0.3417,SiO2/S,20.0,Al,0.08904,4.018183201,Impregnation,550.0,2.0,260.0,50,3.0,7.824046011,16.2
0.3417,SiO2/S,20.0,Al,0.08904,4.018183201,Impregnation,550.0,2.0,280.0,50,3.0,7.824046011,16.2
0.3365,Si,0.2494,Null,0.0,3.937690752,One-pot,550.0,2.0,220.0,50,3.0,7.824046011,6.1
0.3365,Si,0.2494,Null,0.0,3.937690752,One-pot,550.0,2.0,240.0,50,3.0,7.824046011,6.1
0.3365,Si,0.2494,Null,0.0,3.77505715,One-pot,550.0,2.0,260.0,50,3.0,7.824046011,6.1
0.3365,Si,0.2494,Null,0.0,3.77505715,One-pot,550.0,2.0,280.0,50,3.0,7.824046011,6.1
0.3407,SiO2/S,20.0,Al,0.2494,3.572345638,One-pot,550.0,2.0,220.0,50,3.0,7.824046011,9.0
0.3407,SiO2/S,20.0,Al,0.2494,3.572345638,One-pot,550.0,2.0,240.0,50,3.0,7.824046011,9.0
0.3407,SiO2/S,20.0,Al,0.2494,3.572345638,One-pot,550.0,2.0,260.0,50,3.0,7.824046011,9.0
0.3407,SiO2/S,20.0,Al,0.2494,3.572345638,One-pot,550.0,2.0,280.0,50,3.0,7.824046011,9.0
0.385,Null,0.0,Al,0.246,3.044522438,Impregnation,250.0,1.0,150.0,30,3.0,7.620705087,26.42370183
0.385,Null,0.0,Al,0.246,3.044522438,Impregnation,250.0,1.0,175.0,30,3.0,7.620705087,26.42370183
